TAWPE,240,35,1,Rajiformes,Arhynchobatidae,Sympterygia,brevicaudata,Shorttail Fanskate,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAWPE,241,35,1,Rajiformes,Arhynchobatidae,Sympterygia,brevicaudata,Shorttail Fanskate,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAW,1281,31,1,Rajiformes,Rajidae,Raja,inornata,California Skate,USA,California,Los Angeles,Trawl Sta. Z3,near outfall of 5 Mi. Hyperion pipline,,RV La Mer,Trawl,3/6/03,20 minutes,,58.5 m,,,,,,,
TAW,341,28,1,Rajiformes,Rhinobatidae,Platyrhinoidis,triseriata,Thornback Guitarfish,USA,California,Los Angeles,,Malibu State Beach,,,,8/12/96,,,,,,,,,,
TAW,371,28,1,Rajiformes,Rhinobatidae,Platyrhinoidis,triseriata,Thornback Guitarfish,USA,California,xxxx,,,,,,,,,,,,,,,,
TAW,471(365),28,1,Rajiformes,Rhinobatidae,Platyrhinoidis,triseriata,Thornback Guitarfish,USA,California,Los Angeles,,off redondo beach,,,,,,,,,,,,,,
TAW,471,,1,Rajiformes,Rhinobatidae,Platyrhinoidis,triseriata,Thornback Guitarfish,USA,California,Los Angeles,,Off redondo Beach,60-135 feet,w/ Mike Gottesman,,11/4/97,,,,,,,,,,
TAW,1421,28,1,Rajiformes,Rhinobatidae,Rhinobatos,productus,Shovelnose Guitarfish,USA,California,Los Angeles,Malibu Pier,Malibu,,,,3/15/05,,,,,,,,,,
TAW,1256,,1,Squaliformes,Squalidae,Squalus,suckleyi,Pacific Spiny Dogfish,USA,California,Orange,1-5 Mi. due S. of Long Beach Harbor,,,,,6/9/01,40-300',,,,,,,,,
TAW,1407,399,2,Acanthuriformes,Acanthuridae,Acanthurus,achilles,Achilles Tang,USA,California,Los Angeles,Fish Store,Culver City,,,,,,,,,,,,,,
TAW,1472,399,2,Acanthuriformes,Acanthuridae,Acanthurus,bahianus,Ocean Surgeon,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,7/1/06,,,,,,,,,,
TAW,1564,399,2,Acanthuriformes,Acanthuridae,Acanthurus,bahianus,Ocean Surgeon,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,,,,,,,,,,,
TAW,1471,399,2,Acanthuriformes,Acanthuridae,Acanthurus,chirurgus,Doctorfish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,7/1/06,,,,,,,,,,
TAW,1470,399,2,Acanthuriformes,Acanthuridae,Acanthurus,coeruleus,Yellowfin Surgeonfish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,7/1/06,,,,,,,,,,
LACM,3572-1,399,2,Acanthuriformes,Acanthuridae,Acanthurus,sp.,,,,,,,,,,,,,,,,,,,,
LACM,32096-28,399,2,Acanthuriformes,Acanthuridae,Acanthurus,triostegus,Convict Surgeonfish,,,,,,,,,,,,,,,,,,,
TAW,2105,399,2,Acanthuriformes,Acanthuridae,Naso,elegans,Elegant Unicornfish,USA,California,Los Angeles,Fish Store,,,,,,,,,,,,,,,
TAW,2297,399,2,Acanthuriformes,Acanthuridae,Paracanthurus ,hapatus,Palette Surgeonfish,USA,California,Los Angeles,the aquarium store,Culver City,,,,,,,,,,,,,,
LACM,37856-1,399,2,Acanthuriformes,Acanthuridae,Prionurus,punctatus,Yellowtail Surgeonfish,,,,,,,,,,,,,,,,,,,
TAW,1509,399,2,Acanthuriformes,Acanthuridae,Zebrasoma,flavescens,Yellow Tang,USA,California,Los Angeles,Fish Store,Culver City,,,,12/28/06,,,,,,,,,,
TAW,2068,50,2,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,White Sturgeon,USA,California,,,,,,,,,,,,,,,,,
TAW,447,,2,Albuliformes,Albulidae,Albula,vulpes,Bonefish,Mexico,Chiapas,Mazatán,,Mazatán Market,,,,,,,,,,,,,,
LACM,32041-22,179,2,Anguilliformes,Muraenidae,Gymnothorax,mordax,California Moray,USA,California,,,,,,,,,,,,,,,,,
TAW,1383,189,2,Anguilliformes,Ophichthidae,Myrophis,vafer,Pacific Worm Eel,USA,California,,San Pedro Fish Market,,,,,12/27/04,,,,,,,,,,
TAW,1561,254,2,Atheriniformes,Atherinidae,Atherinomorus,stipes,Hardhead Silverside,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,,,,,,,,,,,
TAW,1060,254,2,Atheriniformes,Atherinopsidae,Atherinops,affinis,Topsmelt Silverside,USA,California,Los Angeles,Scattergood Power Plant,El Segundo,,heat treatment,,4/11/00,,,,,,,,,,
TAW,1062,254,2,Atheriniformes,Atherinopsidae,Atherinops,affinis,Topsmelt Silverside,USA,California,Los Angeles,Scattergood Power Plant,El Segundo,,heat treatment,,4/11/00,,,,,,,,,,
TAW,352,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,,Santa Monica Pier,,,,3/1/94,,,,,,,,,,
TAW,353,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,,Santa Monica Pier,,,,3/1/94,,,,,,,,,,
TAW,979,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,Beach at Glendora Ave.,Long Beach,,200' Beach Seine,,10/23/99,,,,,,,,,,
TAW,980,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,Beach at Glendora Ave.,Long Beach,,200' Beach Seine,,10/23/99,,,,,,,,,,
TAW,981,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,Beach at Glendora Ave.,Long Beach,,200' Beach Seine,,10/23/99,,,,,,,,,,
TAW,982,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,Beach at Glendora Ave.,Long Beach,,200' Beach Seine,,10/23/99,,,,,,,,,,
TAW,983,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,Los Angeles,Beach at Glendora Ave.,Long Beach,,200' Beach Seine,,10/23/99,,,,,,,,,,
,345,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,,,,,,,,,,,,,,,,,
,346,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,,,,,,,,,,,,,,,,,
,944,254,2,Atheriniformes,Atherinopsidae,Atherinopsis,californiensis,Jack Silverside,USA,California,,,,,,,,,,,,,,,,,
TAW,959,254,2,Atheriniformes,Atherinopsidae,Leuresthes,tenuis,California Grunion,USA,California,,San Pedro Fish Market,,,,,,,,,,,,,,,
TAW,960,254,2,Atheriniformes,Atherinopsidae,Leuresthes,tenuis,California Grunion,USA,California,,San Pedro Fish Market,,,,,,,,,,,,,,,
TAW,1090,254,2,Atheriniformes,Atherinopsidae,Leuresthes,tenuis,California Grunion,USA,California,Los Angeles,Scattergood Power Plant,El Segundo,,heat treatment,,4/11/00,,,,,,,,,,
TAWPE,126,254,2,Atheriniformes,Atherinopsidae,Odontesthes,regia,Chilean Silverside,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAWPE,129,254,2,Atheriniformes,Atherinopsidae,Odontesthes,regia,Chilean Silverside,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAWPE,130,254,2,Atheriniformes,Atherinopsidae,Odontesthes,regia,Chilean Silverside,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAWPE,131,254,2,Atheriniformes,Atherinopsidae,Odontesthes,regia,Chilean Silverside,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAW,1365,104,2,Aulopiformes,Synodontidae,Synodus,foetens,Inshore Lizardfish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,Isla Colon,,,7/25/04,"SL 235, TL 265, 103 gm",,,,,,,,,
TAW,1575,104,2,Aulopiformes,Synodontidae,Synodus,foetens,Inshore Lizardfish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,,,,,,,,,,,
TAW,842,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,LA Harbor,New container facility basin,Vantuna,trawl,5 fathoms,2/3/99,,,,,,,,,,
TAW,843,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,LA Harbor,New container facility basin,Vantuna,trawl,5 fathoms,2/3/99,,,,,,,,,,
TAW,844,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,LA Harbor,New container facility basin,Vantuna,trawl,5 fathoms,2/3/99,,,,,,,,,,
TAW,845,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,LA Harbor,New container facility basin,Vantuna,trawl,5 fathoms,2/3/99,,,,,,,,,,
TAW,846,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,LA Harbor,New container facility basin,Vantuna,trawl,5 fathoms,2/3/99,,,,,,,,,,
TAW,858,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,,3 Mi. WNW of Point Fermin,Vantuna,trawl,58 fathoms,2/3/99,,,,,,,,,,
TAW,859,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,,3 Mi. WNW of Point Fermin,Vantuna,trawl,58 fathoms,2/3/99,,,,,,,,,,
TAW,860,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,,3 Mi. WNW of Point Fermin,Vantuna,trawl,58 fathoms,2/3/99,,,,,,,,,,
TAW,2146,104,2,Aulopiformes,Synodontidae,Synodus,lucioceps,California Lizardfish,USA,California,Los Angeles,Los Angeles Harbor,,,,,RV Yellowfin,"Dec. 4, 2016",,,,,,,,,
TAWPE,37,104,2,Aulopiformes,Synodontidae,Synodus,scituliceps,Shorthead Lizardfish,Peru,La Libertad,Trujillo,,Huanchaco,,,,,,,,,,,,,,
TAW,835,444,2,Batrachoidiformes,Batrachoididae,Porichthys,myriaster,Specklefin Midshipman,USA,California,Los Angeles,LA Harbor,New container facility basin,Vantuna,trawl,5 fathoms,2/3/99,,,,,,,,,,
TAW,1059,444,2,Batrachoidiformes,Batrachoididae,Porichthys,myriaster,Specklefin Midshipman,USA,California,Los Angeles,Scattergood Power Plant,El Segundo,,heat treatment,,4/11/00,,,,,,,,,,
TAW,1283,444,2,Batrachoidiformes,Batrachoididae,Porichthys,myriaster,Specklefin Midshipman,USA,California,Los Angeles,Trawl Sta. Z3,near outfall of 5 Mi. Hyperion pipline,,RV La Mer,Trawl,3/6/03,20 minutes,,58.5 m,,,,,,,
TAW,1303,444,2,Batrachoidiformes,Batrachoididae,Porichthys,myriaster,Specklefin Midshipman,USA,California,Los Angeles,Trawl Sta. C6,near outfall of 5 Mi. Hyperion pipline,,RV La Mer,Trawl,3/6/03,20 minutes,,59.5 m,,,,,,,
TAW,344,444,2,Batrachoidiformes,Batrachoididae,Porichthys,notatus,Plainfin Midshipman,USA,California,Los Angeles,,Point Dume,dead on beach,,,,,,,,,,,,,
TAW,2050,444,2,Batrachoidiformes,Batrachoididae,Porichthys,notatus,Plainfin Midshipman,USA,California,Los Angeles,Point Dume,,,,,,,,,,,,,,,
LACM,38295-78,199,2,Beloniformes,Belonidae,Strongylura,strongylura,Spottail Needlefish,,,,,,,,,,,,,,,,,,,
TAW,1467,199,2,Beloniformes,Belonidae,Tylosurus,crocodilus,Hound Needlefish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,7/1/06,,,,,,,,,,
TAW,1695,199,2,Beloniformes,Belonidae,Tylosurus,crocodilus,Hound Needlefish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,"SL 525, TL 465, 165 gm",,,,,,,,,,
TAW,2055,199,2,Beloniformes,Belonidae,Tylosurus,crocodilus,Hound Needlefish,Indonesia,Bali,,,,,,,,,,,,,,,,,
TAW,1549,199,2,Beloniformes,Belonidae,Xenentodon,cancila,Freshwater Garfish,USA,California,Los Angeles,Fish Store,Culver City,,,,,,,,,,,,,,
TAW,2084,199,2,Beloniformes,Exocoetidae,Cheilopogon,pinnatibarbatus,Smallhead Flyingfish,USA,California,,,,,,,,,,,,,,,,,
TAW,1418,241,2,Beryciformes,Berycidae,Beryx,decadactylus,Alfonsino,USA,Market,,,,,,,,,,,,,,,,,
TAW,1419,241,2,Beryciformes,Berycidae,Beryx,decadactylus,Alfonsino,USA,Market,,,,,,,,,,,,,,,,,
,1144,241,2,Beryciformes,Berycidae,Beryx,decadactylus,Alfonsino,USA,Market,,,,,,,,,,,,,,,,,
TAW,1660,,2,Beryciformes,Holocentridae,Holocentrus,adscensionis,Squirrelfish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,"SL 195, TL 255, 0.9 lb",,,,,,,,,,
TAW,1799,,2,Beryciformes,Holocentridae,Holocentrus,rufus,Longspine Squirrelfish,Panama,Bocas del Toro,Bocas del Toro,Bocas del Toro,Drago,,,,,"SL 103, TL 134",,,,,,,,,
TAW,2329-A,286,2,Carangiformes,Carangidae,Atule,mate,Yellowtail Scad,,,,,,,,,,,,,,,,,,,
LACM,35742-16,286,2,Carangiformes,Carangidae,Caranx,caballus,Green Jack,,,,,,,,,,,,,,,,,,,
